#MusicalWorkRightShareRecordId	MusicalWorkRecordId	PartyRecordId	PartyRole	RightShareType	RightsType	RightSharePercentage	TerritoryCode	PrecedingMusicalWorkRightShareRecordId
mock-share-n2711e-writer	N2711E	700000001	Composer			50	I000	
mock-share-n2711e-publisher	N2711E	700000002	OriginalPublisher			50	I000	
mock-share-n2711f-writer	N2711F	700000003	Composer			50	I000	
mock-share-n2711f-publisher	N2711F	700000004	OriginalPublisher			50	I000	
mock-share-n2711g-writer	N2711G	700000005	Composer			50	I000	
mock-share-n2711g-publisher	N2711G	700000006	OriginalPublisher			50	I000	
mock-share-n2711h-writer	N2711H	700000007	Composer			50	I000	
mock-share-n2711h-publisher	N2711H	700000008	OriginalPublisher			50	I000	
mock-share-n2711i-writer	N2711I	700000009	Composer			50	I000	
mock-share-n2711i-publisher	N2711I	700000010	OriginalPublisher			50	I000	
mock-share-n2711j-writer	N2711J	700000011	Composer			50	I000	
mock-share-n2711j-publisher	N2711J	700000012	OriginalPublisher			50	I000	
mock-share-n2711k-writer	N2711K	700000013	Composer			50	I000	
mock-share-n2711k-publisher	N2711K	700000014	OriginalPublisher			50	I000	
mock-share-n2711l-writer	N2711L	700000015	Composer			50	I000	
mock-share-n2711l-publisher	N2711L	700000016	OriginalPublisher			50	I000	
mock-share-n2711m-writer	N2711M	700000017	Composer			50	I000	
mock-share-n2711m-publisher	N2711M	700000018	OriginalPublisher			50	I000	
mock-share-n2711n-writer	N2711N	700000019	Composer			50	I000	
mock-share-n2711n-publisher	N2711N	700000020	OriginalPublisher			50	I000	
mock-share-n2711o-writer	N2711O	700000021	Composer			50	I000	
mock-share-n2711o-publisher	N2711O	700000022	OriginalPublisher			50	I000	
mock-share-n2711p-writer	N2711P	700000023	Composer			50	I000	
mock-share-n2711p-publisher	N2711P	700000024	OriginalPublisher			50	I000	
mock-share-n2711q-writer	N2711Q	700000025	Composer			50	I000	
mock-share-n2711q-publisher	N2711Q	700000026	OriginalPublisher			50	I000	
mock-share-n2711r-writer	N2711R	700000027	Composer			50	I000	
mock-share-n2711r-publisher	N2711R	700000028	OriginalPublisher			50	I000	
mock-share-n2711s-writer	N2711S	700000029	Composer			50	I000	
mock-share-n2711s-publisher	N2711S	700000030	OriginalPublisher			50	I000	
mock-share-n2711t-writer	N2711T	700000031	Composer			50	I000	
mock-share-n2711t-publisher	N2711T	700000032	OriginalPublisher			50	I000	
mock-share-n2711u-writer	N2711U	700000033	Composer			50	I000	
mock-share-n2711u-publisher	N2711U	700000034	OriginalPublisher			50	I000	
mock-share-n2711v-writer	N2711V	700000035	Composer			50	I000	
mock-share-n2711v-publisher	N2711V	700000036	OriginalPublisher			50	I000	
mock-share-n2711w-writer	N2711W	700000037	Composer			50	I000	
mock-share-n2711w-publisher	N2711W	700000038	OriginalPublisher			50	I000	
mock-share-n2711x-writer	N2711X	700000039	Composer			50	I000	
mock-share-n2711x-publisher	N2711X	700000040	OriginalPublisher			50	I000	
mock-share-n2711y-writer	N2711Y	700000041	Composer			50	I000	
mock-share-n2711y-publisher	N2711Y	700000042	OriginalPublisher			50	I000	
mock-share-n2711z-writer	N2711Z	700000043	Composer			50	I000	
mock-share-n2711z-publisher	N2711Z	700000044	OriginalPublisher			50	I000	
mock-share-n27120-writer	N27120	700000045	Composer			50	I000	
mock-share-n27120-publisher	N27120	700000046	OriginalPublisher			50	I000	
mock-share-n27121-writer	N27121	700000047	Composer			50	I000	
mock-share-n27121-publisher	N27121	700000048	OriginalPublisher			50	I000	
mock-share-n27122-writer	N27122	700000049	Composer			50	I000	
mock-share-n27122-publisher	N27122	700000050	OriginalPublisher			50	I000	
