#MusicalWorkRecordId	ISWC	MusicalWorkTitle	LanguageAndScriptCode	OpusNumber	ComposerCatalogNumber	NominalDuration	HasRightShareInDispute	TerritoryOfPublicDomain	IsArrangementOfTraditionalWork	AlternativeMusicalWorkIdForUsStatutoryReversion	UsStatutoryReversionDate	IsCompositeMusicalWork
N2711E		NO BOTHER VEX AKA DON'T BOTHER VEX					false		false			
N2711F		NO CARNIVAL IN LONDON					false		false			
N2711G		NO GOOD GIRL					false		false			
N2711H	T0111944592	NO LICK NO CUP					false		false			
N2711I	T9027662448	NO LOVE AT ALL					false		false			
N2711J	T9250956571	NO SURRENDER					false		false			
N2711K		NO WAR IN THIS DANCE					false		false			
N2711L	T9108589997	NOBODY WANTS TO GROW OLD					false		false			
N2711M	T9250956731	NOT SO CAROLINA					false		false			
N2711N	T0110634939	NOW WE KNOW					false		false			
N2711O	T0117174169	NUCLEAR DANGER					false		false			
N2711P		NUH KNOW FE LOOK WOMAN					false		false			
N2711Q		NORA NORA					false		false			
N2711R		NO ONE KNOWS					false		false			
N2711S	T9053847533	NO ONE					false		false			
N2711T	T9027795524	NEVER GIVE UP					false		false			
N2711U	T9002858120	NAVIDAD					false		false			
N2711V	T9027622840	NANCY					false		false			
N2711W	T0113665216	NAME OF THE GAME					false		false			
N2711X		NATURAL					false		false			
N2711Y		NAO VAI SER ASSIM					false		false			
N2711Z		NO ANGEL					false		false			
N27120		NEW ICE AGE					false		false			
N27121		NOCHES DE AHUATEPEC					false		false			
