#ProprietaryReleaseIdentifierRecordId	ReleaseRecordId	ProprietaryId	AllocatingPartyRecordId
245219978	414025039	561792979	5316102
245219979	414025040	561792981	5316102
245219980	414025041	561793007	5316102
245219981	414025042	561793039	5316102
245219982	414025043	561793107	5316102
245219983	414025044	561793143	5316102
245219984	414025045	561793143	5316102
245219985	414025046	561793143	5316102
245219986	414025047	561793179	5316102
245219987	414025048	561793219	5316102
245219988	414025049	561793245	5316102
245219989	414025050	561793359	5316102
245219990	414025051	561793393	5316102
245219991	414025052	561793455	5316102
245219992	414025053	561793487	5316102
245219993	414025054	561793519	5316102
245219994	414025055	561793601	5316102
245219995	414025056	561793663	5316102
245219996	414025057	561793687	5316102
245219997	414025058	561793739	5316102
245219998	414025059	56179379	5316102
245219999	414025060	56179379	5316102
245220000	414025061	561793801	5316102
245220001	414025062	561793879	5316102
