#ReleaseRecordId	ICPN	ReleaseTitle	LanguageAndScriptCode	ReleaseSubTitle	DisplayArtistName	DisplayArtistISNI	LabelName	DistributorName	ReleaseDate	OriginalDataProviderName	OriginalDataProviderDPID	IsDataProvidedAsReceived
397671404		IN MUTUAL FLUX			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671405		AURA OF THE AFTERLIFE 1			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671406		AURA OF THE AFTERLIFE 2			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671407		AURA OF THE AFTERLIFE 3			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671408		AURA OF THE AFTERLIFE 4			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671409		AURA OF THE AFTERLIFE 5			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671410		AURA OF THE AFTERLIFE 6			ROY MONTGOMERY		GRAPEFRUIT		2022-11-25	melodyvr		true
397671411		TOP OF THE WORLD			BEDTIME BEATS		BEDTIME BEATS		2023-05-26	melodyvr		true
397671412		WHEN I'M WITH YOU			BEDTIME BEATS		BEDTIME BEATS		2023-05-26	melodyvr		true
397671413		NOTHING I WON'T DO			BEDTIME BEATS		BEDTIME BEATS		2023-05-26	melodyvr		true
397671414		MATA HARI			RAINAO		SONAR LLC.		2022-10-26	melodyvr		true
397671415		L'ONOCLÉE			INGRID ST-PIERRE		SIMONE RECORDS		2022-11-01	melodyvr		true
397671416		KNOWLEDGE FREEDOM POWER			THE SLOW READERS CLUB		VELVETEEN RECORDS		2022-11-17	melodyvr		true
397671417		THIS LITTLE LIGHT OF MINE			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671418		WOKE UP THIS MORNING (WITH MY MIND STAYED ON FREEDOM)			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671419		BLESSINGS UPON BLESSINGS			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671420		I COME TO THE GARDEN ALONE			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671421		SWING DOWN SWEET CHARIOT			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671422		GOD BE IN MY HEAD			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671423		STEAL AWAY			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671424		ROW ON (ROW, ROW, ROW YOUR BOAT)			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671425		SOFTLY AND TENDERLY			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671426		IF HE CHANGED MY NAME			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671427		EVERY TIME I FEEL THE SPIRIT			DEE DANIELS		CELLAR LIVE		2023-02-03	melodyvr		true
397671428		NOT SO CAROLINA			FAKE CAROLINA BAND		TEST LABEL		2026-07-11	test_provider		true
