#LinkRecordId	MusicalWorkRecordId	ResourceRecordId
207916527	DB7KAR	2_spotify:track:4pTvsBi9wTffNhXjbyIUFj
207916528	X2821N	2_spotify:track:1qhHIeryQFbj7TnoJ2odsb
207916529	GE09G5	2_spotify:track:6SawUX7Ast5O1w6CGexyOo
207916530	AA7D58	2_spotify:track:6zp5tnuY4nrks12HJUVvzo
207916531	CB1TMN	2_spotify:track:36o3r9mHTTPbUrNINsaBik
207916532	DQ8IIP	2_spotify:track:6zYxoZWkZyxl533rZboCPn
207916533	HA6FJ6	2_spotify:track:5zkrN4e4gxDTQ9JQrjEC9S
207916534	D76413	2_spotify:track:7i5t0Xmx87WcoaFYWl04FB
207916535	GV85ES	2_spotify:track:2i8vL1Lx0INnuWL98ZwaF6
207916536	N3933J	2_spotify:track:3UREqG5g9fsF7Ip3leDY1A
207916537	N08681	2_spotify:track:3TehrdbmAZbq4iNKMMxltS
207916538	S87YHK	2_spotify:track:0wNgR48TOoX61OxtY6Fh0m
207916539	NH2U6K	2_spotify:track:00pmmOheIc4pWDFDIqUjSc
207916540	DR1WBP	2_spotify:track:2JAzHaxmYlvBIgfgADvB54
207916541	TA4UM4	2_spotify:track:6q33dKjwomGjqKytI6yEmM
207916542	S9013V	2_spotify:track:18kUq9I5PGlJcB36dMhcOy
207916543	LF0CLJ	2_spotify:track:139irFfDIQDeEGXjZXODof
207916544	WC1NNN	2_spotify:track:7dHEFhIpOxsgMfEJTjjIFE
207916545	CVBHUT	2_spotify:track:4E18EiZBp35eiDnodXHr05
207916546	GA6FOU	2_spotify:track:355D9azzqEgfFTXBFWo6rC
207916547	KV880R	2_spotify:track:1lcE6YLqrE1kmKN6wL34h9
207916548	T01613	2_spotify:track:1RVAHrcHhbJGhFV9RklCun
207916549	944566	2_spotify:track:023TdDWPGMFYuSPZjen1HP
207916550	MB08PE	2_spotify:track:5ZhYCUTNX60XhRGrloRle9
207916551	N2711M	2_spotify:track:not-so-carolina-fake-001
